id,timestamp,date,hour,temperature,humidity,light,co2,is_anomaly
1,2024-09-01 00:00:00,2024-09-01,0,13.5,74.3,1295.0,795.7,0
2,2024-09-01 01:00:00,2024-09-01,1,15.4,78.5,0.0,761.2,0
3,2024-09-01 02:00:00,2024-09-01,2,14.2,64.1,0.0,713.0,0
4,2024-09-01 03:00:00,2024-09-01,3,13.7,65.0,2931.0,699.3,0
5,2024-09-01 04:00:00,2024-09-01,4,15.9,70.6,0.0,686.3,0
6,2024-09-01 05:00:00,2024-09-01,5,17.8,66.1,0.0,694.4,0
7,2024-09-01 06:00:00,2024-09-01,6,22.0,58.9,418.0,541.2,0
8,2024-09-01 07:00:00,2024-09-01,7,23.9,63.3,7533.0,552.1,0
9,2024-09-01 08:00:00,2024-09-01,8,24.1,65.3,15687.0,472.1,0
10,2024-09-01 09:00:00,2024-09-01,9,25.4,61.0,23275.0,521.9,0
11,2024-09-01 10:00:00,2024-09-01,10,26.4,54.8,26643.0,499.4,0
12,2024-09-01 11:00:00,2024-09-01,11,26.8,49.4,30603.0,495.8,0
13,2024-09-01 12:00:00,2024-09-01,12,29.3,51.8,30723.0,496.1,0
14,2024-09-01 13:00:00,2024-09-01,13,24.5,59.5,29152.0,446.1,0
15,2024-09-01 14:00:00,2024-09-01,14,27.3,58.1,28937.0,454.5,0
16,2024-09-01 15:00:00,2024-09-01,15,25.2,55.4,23044.0,503.8,0
17,2024-09-01 16:00:00,2024-09-01,16,24.9,64.8,13596.0,515.2,0
18,2024-09-01 17:00:00,2024-09-01,17,23.3,63.7,7775.0,554.1,0
19,2024-09-01 18:00:00,2024-09-01,18,20.2,61.0,0.0,612.1,0
20,2024-09-01 19:00:00,2024-09-01,19,19.1,67.2,0.0,638.0,0
21,2024-09-01 20:00:00,2024-09-01,20,16.8,82.3,0.0,684.0,0
22,2024-09-01 21:00:00,2024-09-01,21,16.8,75.8,1582.0,678.8,0
23,2024-09-01 22:00:00,2024-09-01,22,14.7,84.6,0.0,712.9,0
24,2024-09-01 23:00:00,2024-09-01,23,10.7,75.0,0.0,759.1,0
25,2024-09-02 00:00:00,2024-09-02,0,11.6,73.4,1627.0,713.1,0
26,2024-09-02 01:00:00,2024-09-02,1,10.7,75.6,520.0,768.3,0
27,2024-09-02 02:00:00,2024-09-02,2,14.7,75.1,501.0,740.3,0
